,Unnamed: 0,Unnamed: 0.1,index,Frame,HitBounce,X_Ball,Y_Ball,X_Ball_onC,Y_Ball_onC,X_A_onC,Y_A_onC,X_B_onC,Y_B_onC,X1,Y1,X2,Y2,X3,Y3,X4,Y4
221,1300,1300,271,17255,Front_Hit,847,456,,,,,,,,,,,,,,
222,1301,1301,273,17308,Front_Hit,982,707,,,,,,,,,,,,,,
223,1302,1302,275,17525,Front_Hit,939,576,,,,,,,,,,,,,,
224,1303,1303,277,17909,Front_Hit,1044,746,,,,,,,,,,,,,,
225,1304,1304,279,18095,Front_Hit,898,396,,,,,,,,,,,,,,
226,1306,1306,195,18127,Back_Hit,1126,207,,,,,,,,,,,,,,
227,1307,1307,281,18220,Front_Hit,784,555,,,,,,,,,,,,,,
228,1308,1308,283,18252,Front_Hit,395,565,-5.705,33.66,-16.375,-24.36,-16.375,-24.36,941,146,578,124,515,292,970,268
229,1309,1309,285,18288,Front_Hit,676,383,,,,,,,,,,,,,,
230,1310,1310,287,18328,Front_Hit,1139,543,,,,,,,,,,,,,,
231,1311,1311,197,18382,Back_Hit,495,101,,,,,,,,,,,,,,
232,1312,1312,289,18410,Front_Hit,379,596,,,,,,,,,,,,,,
233,1313,1313,199,18488,Back_Hit,1348,60,,,,,,,,,,,,,,
234,1314,1314,201,18500,Back_Hit,1475,44,,,,,,,,,,,,,,
235,1315,1315,291,18533,Front_Hit,966,345,,,,,,,,,,,,,,
236,1316,1316,293,18649,Front_Hit,832,718,,,,,,,,,,,,,,
237,1317,1317,295,19033,Front_Hit,882,375,,,,,,,,,,,,,,
238,1318,1318,297,19179,Front_Hit,868,512,-5.765000000000001,12.48,-122.035,-157.01,-122.035,-157.01,1206,342,974,326,884,504,1277,502
239,1319,1319,203,19201,Back_Hit,1079,313,-0.8050000000000006,-16.39,-202.585,-252.77999999999997,-202.585,-252.77999999999997,1202,338,978,324,888,502,1278,502
240,1320,1320,205,19269,Back_Hit,334,280,-25.895,-8.790000000000001,-97.755,-110.66,-97.755,-110.66,1201,336,982,317,889,504,1277,502
241,1321,1321,299,19316,Front_Hit,530,573,-11.725000000000001,15.919999999999998,-164.51500000000001,-218.95999999999998,-164.51500000000001,-218.95999999999998,1206,342,974,329,888,505,1277,502
242,1322,1322,207,19362,Back_Hit,756,242,,,,,,,,,,,,,,
243,1323,1323,301,19402,Front_Hit,880,507,,,,,,,,,,,,,,
244,1324,1324,303,19505,Front_Hit,767,601,,,,,,,,,,,,,,
245,1325,1325,209,19512,Back_Hit,271,241,,,,,,,,,,,,,,
246,1326,1326,305,19581,Front_Hit,471,565,,,,,,,,,,,,,,
247,1327,1327,211,19652,Back_Hit,169,240,,,,,,,,,,,,,,
