,index,Frame,HitBounce,X_Ball,Y_Ball
424,128,10312,Back_Bounce,641,197
425,129,10324,Back_Bounce,637,116
426,129,10324,Back_Hit,637,116
427,128,10324,Back_Hit,637,116
428,106,10331,Front_Bounce,680,142
429,62,10370,Front_Hit,939,425
430,130,10425,Back_Bounce,1018,326
431,130,10426,Back_Hit,1020,190
432,107,10427,Front_Bounce,1020,326
433,131,10434,Back_Bounce,1031,326
434,132,10439,Back_Bounce,1041,326
435,132,10441,Back_Hit,1044,324
436,131,10441,Back_Hit,1044,324
437,133,10445,Back_Bounce,1050,327
438,108,10446,Front_Bounce,1003,737
439,133,10448,Back_Hit,1057,326
440,109,10475,Front_Bounce,1156,790
441,110,10534,Front_Bounce,1183,769
442,63,10546,Front_Hit,778,756
443,64,10561,Front_Hit,722,755
444,111,10563,Front_Bounce,717,758
445,65,10579,Front_Hit,638,752
446,112,10612,Front_Bounce,504,730
447,134,11172,Back_Bounce,836,313
448,135,11190,Back_Bounce,696,220
449,134,11200,Back_Hit,651,109
450,135,11203,Back_Hit,648,108
451,136,11211,Back_Bounce,658,153
452,136,11211,Back_Hit,658,153
453,113,11219,Front_Bounce,676,261
454,114,11251,Front_Bounce,778,833
455,66,11254,Front_Hit,788,842
456,67,11290,Front_Hit,493,676
457,68,11302,Front_Hit,619,537
458,137,11330,Back_Bounce,788,58
459,137,11341,Back_Hit,816,56
460,115,11345,Front_Bounce,1492,789
461,116,11421,Front_Bounce,842,799
462,69,11432,Front_Hit,832,801
463,138,11571,Back_Bounce,821,324
464,139,11585,Back_Bounce,640,241
465,140,11591,Back_Bounce,581,246
466,138,11601,Back_Hit,537,132
467,139,11602,Back_Hit,535,116
468,140,11602,Back_Hit,535,116
469,141,11653,Back_Bounce,692,197
470,142,11664,Back_Bounce,585,206
471,141,11674,Back_Hit,533,119
472,142,11674,Back_Hit,533,119
473,143,11682,Back_Bounce,541,156
474,143,11682,Back_Hit,541,156
475,144,11701,Back_Bounce,574,318
476,144,11712,Back_Hit,597,266
477,145,11754,Back_Bounce,685,263
478,145,11764,Back_Hit,1282,258
479,117,11836,Front_Bounce,1191,778
480,70,11842,Front_Hit,1054,775
481,71,11852,Front_Hit,1140,778
482,118,11876,Front_Bounce,1088,779
483,146,12430,Back_Bounce,300,197
484,146,12430,Back_Hit,300,197
485,147,12557,Back_Bounce,650,320
486,148,12572,Back_Bounce,778,260
487,147,12582,Back_Hit,785,128
488,148,12588,Back_Hit,781,104
489,119,12607,Front_Bounce,678,287
490,149,12671,Back_Bounce,696,281
491,149,12697,Back_Hit,1029,246
492,150,12931,Back_Hit,500,293
493,150,12931,Back_Bounce,500,293
494,120,12988,Front_Bounce,659,339
495,121,13038,Front_Bounce,820,737
496,151,13104,Back_Bounce,518,59
497,151,13110,Back_Hit,532,55
498,122,13111,Front_Bounce,769,226
499,152,13128,Back_Bounce,714,244
500,152,13132,Back_Hit,710,241
501,123,13137,Front_Bounce,846,733
502,72,13155,Front_Hit,837,737
503,153,13235,Back_Hit,517,190
504,153,13235,Back_Bounce,517,190
505,124,13272,Front_Bounce,897,516
506,154,13301,Back_Bounce,850,319
507,155,13316,Back_Bounce,732,241
508,155,13328,Back_Hit,691,117
509,154,13328,Back_Hit,691,117
510,156,13355,Back_Hit,677,154
511,156,13355,Back_Bounce,677,154
512,157,13413,Back_Bounce,750,281
513,157,13413,Back_Hit,750,281
514,125,13422,Front_Bounce,1021,733
515,126,13477,Front_Bounce,754,739
516,158,13532,Back_Bounce,662,329
517,158,13559,Back_Hit,975,30
518,159,13700,Back_Bounce,826,319
519,160,13718,Back_Bounce,579,258
520,159,13730,Back_Hit,513,129
521,161,13736,Back_Hit,490,112
522,160,13736,Back_Hit,490,112
523,161,13736,Back_Bounce,490,112
524,162,13740,Back_Bounce,514,143
525,162,13740,Back_Hit,514,143
526,127,13747,Front_Bounce,560,244
527,128,13756,Front_Bounce,628,458
528,73,13761,Front_Hit,661,480
529,163,13793,Back_Bounce,877,196
530,164,13803,Back_Hit,895,128
531,163,13803,Back_Hit,895,128
532,164,13803,Back_Bounce,895,128
533,165,13815,Back_Bounce,795,175
534,165,13815,Back_Hit,795,175
535,74,13841,Front_Hit,484,467
536,166,13871,Back_Bounce,910,191
537,166,13880,Back_Hit,957,132
538,167,13882,Back_Bounce,937,136
539,167,13882,Back_Hit,937,136
540,168,13889,Back_Bounce,877,172
541,168,13889,Back_Hit,877,172
542,129,13908,Front_Bounce,646,506
543,75,13911,Front_Hit,612,513
544,130,13915,Front_Bounce,557,544
545,169,13944,Back_Bounce,655,209
546,169,13957,Back_Hit,677,131
547,170,13960,Back_Hit,693,132
548,170,13960,Back_Bounce,693,132
549,131,13972,Front_Bounce,792,234
550,76,13994,Front_Hit,1054,569
551,171,14025,Back_Bounce,643,185
552,171,14034,Back_Hit,617,116
553,172,14043,Back_Hit,585,150
554,172,14043,Back_Bounce,585,150
555,77,14073,Front_Hit,409,613
556,132,14269,Front_Bounce,427,756
557,78,14292,Front_Hit,527,761
558,133,14391,Front_Bounce,638,768
559,79,14430,Front_Hit,1043,773
560,134,14486,Front_Bounce,646,756
561,135,14797,Front_Bounce,638,243
562,173,14850,Back_Bounce,655,316
563,174,14865,Back_Bounce,947,250
564,173,14878,Back_Hit,1003,112
565,174,14878,Back_Hit,1003,112
566,175,14892,Back_Hit,927,134
567,175,14892,Back_Bounce,927,134
568,80,14924,Front_Hit,642,581
569,176,14954,Back_Bounce,549,228
570,176,14971,Back_Hit,536,104
571,177,14989,Back_Hit,652,115
572,177,14989,Back_Bounce,652,115
573,136,15368,Front_Bounce,582,627
574,137,15371,Front_Bounce,389,604
575,138,15412,Front_Bounce,903,491
576,139,15451,Front_Bounce,714,598
577,81,15475,Front_Hit,718,486
578,82,15483,Front_Hit,762,492
579,140,15502,Front_Bounce,376,442
580,141,15542,Front_Bounce,187,441
581,142,15545,Front_Bounce,1504,583
582,143,15552,Front_Bounce,1455,573
583,144,15555,Front_Bounce,1434,570
584,83,15563,Front_Hit,1382,565
585,145,15567,Front_Bounce,1358,562
586,84,15577,Front_Hit,1307,555
587,85,15602,Front_Hit,1397,554
588,146,15609,Front_Bounce,1372,551
589,86,15616,Front_Hit,1347,550
590,147,15636,Front_Bounce,534,489
591,148,15642,Front_Bounce,1033,584
592,87,15645,Front_Hit,1038,585
593,149,15649,Front_Bounce,734,598
594,150,15735,Front_Bounce,70,744
595,88,15789,Front_Hit,74,748
596,178,15913,Back_Bounce,715,55
597,178,15913,Back_Hit,715,55
598,89,15930,Front_Hit,1153,429
599,151,15942,Front_Bounce,755,600
600,152,15945,Front_Bounce,752,599
601,90,15955,Front_Hit,736,597
602,153,15959,Front_Bounce,732,597
603,91,15963,Front_Hit,729,598
604,154,15981,Front_Bounce,732,597
605,155,15993,Front_Bounce,742,597
606,156,15996,Front_Bounce,745,597
607,157,16000,Front_Bounce,751,596
608,92,16003,Front_Hit,754,596
609,158,16009,Front_Bounce,566,482
610,159,16017,Front_Bounce,771,596
611,93,16027,Front_Hit,780,441
612,179,16048,Back_Bounce,663,230
613,160,16050,Front_Bounce,671,228
614,180,16065,Back_Hit,706,142
615,179,16065,Back_Hit,706,142
616,180,16065,Back_Bounce,706,142
617,161,16092,Front_Bounce,819,461
618,94,16104,Front_Hit,881,496
619,181,16131,Back_Bounce,960,204
620,182,16137,Back_Hit,585,139
621,181,16137,Back_Hit,585,139
622,182,16137,Back_Bounce,585,139
623,162,16138,Front_Bounce,958,204
624,183,16146,Back_Bounce,958,208
625,183,16147,Back_Hit,633,154
626,184,16163,Back_Bounce,1013,204
627,163,16166,Front_Bounce,795,291
628,185,16172,Back_Bounce,806,256
629,164,16174,Front_Bounce,810,250
630,186,16184,Back_Bounce,830,259
631,184,16185,Back_Hit,1008,202
632,165,16186,Front_Bounce,836,267
633,166,16190,Front_Bounce,842,291
634,187,16193,Back_Bounce,847,292
635,188,16200,Back_Bounce,863,259
636,186,16202,Back_Hit,445,11
637,187,16202,Back_Hit,445,11
638,188,16202,Back_Hit,445,11
639,185,16202,Back_Hit,445,11
640,167,16219,Front_Bounce,709,83
641,189,16243,Back_Hit,472,83
642,189,16243,Back_Bounce,472,83
643,190,16717,Back_Hit,814,44
644,190,16717,Back_Bounce,814,44
645,168,16762,Front_Bounce,756,183
646,169,16765,Front_Bounce,758,186
647,191,16772,Back_Bounce,762,195
648,191,16786,Back_Hit,711,117
649,192,16791,Back_Bounce,666,117
650,192,16791,Back_Hit,666,117
651,193,16805,Back_Bounce,540,179
652,193,16805,Back_Hit,540,179
653,194,16857,Back_Bounce,414,244
654,194,16857,Back_Hit,414,244
655,195,17007,Back_Hit,872,84
656,195,17007,Back_Bounce,872,84
657,196,17058,Back_Bounce,823,171
658,196,17067,Back_Hit,823,148
659,170,17070,Front_Bounce,822,169
660,197,17077,Back_Bounce,826,165
661,197,17107,Back_Hit,825,69
662,198,17110,Back_Bounce,826,53
663,199,17118,Back_Hit,824,27
664,198,17118,Back_Hit,824,27
665,199,17118,Back_Bounce,824,27
666,171,17124,Front_Bounce,961,191
667,200,17134,Back_Bounce,957,192
668,200,17135,Back_Hit,752,110
669,172,17151,Front_Bounce,458,417
670,201,17181,Back_Bounce,815,238
671,201,17194,Back_Hit,883,153
672,202,17202,Back_Bounce,928,198
673,202,17202,Back_Hit,928,198
674,173,17218,Front_Bounce,1084,469
675,95,17223,Front_Hit,1137,495
676,174,17281,Front_Bounce,629,250
677,203,17323,Back_Hit,1229,244
678,203,17323,Back_Bounce,1229,244
679,204,17386,Back_Hit,745,68
680,204,17386,Back_Bounce,745,68
681,175,17388,Front_Bounce,906,262
682,205,17625,Back_Bounce,1028,271
683,205,17625,Back_Hit,1028,271
684,176,17633,Front_Bounce,1177,839
685,96,17638,Front_Hit,1140,834
686,177,17640,Front_Bounce,1130,836
687,97,17646,Front_Hit,1093,844
688,206,17896,Back_Hit,713,55
689,206,17896,Back_Bounce,713,55
690,178,17924,Front_Bounce,757,578
691,207,17949,Back_Bounce,745,138
692,207,17950,Back_Hit,1417,101
693,179,17951,Front_Bounce,730,142
694,208,17954,Back_Bounce,710,150
695,180,17962,Front_Bounce,661,189
696,208,17975,Back_Hit,634,123
697,209,17982,Back_Hit,685,149
698,209,17982,Back_Bounce,685,149
699,181,17992,Front_Bounce,807,284
700,98,18006,Front_Hit,997,467
701,210,18042,Back_Bounce,905,172
702,210,18054,Back_Hit,899,80
703,211,18085,Back_Bounce,903,105
704,212,18095,Back_Bounce,909,115
705,211,18102,Back_Hit,1016,77
706,212,18102,Back_Hit,1016,77
707,182,18509,Front_Bounce,1144,567
708,213,18621,Back_Bounce,779,48
709,213,18621,Back_Hit,779,48
710,214,18657,Back_Bounce,650,223
711,183,18659,Front_Bounce,645,233
712,215,18663,Back_Bounce,638,259
713,216,18674,Back_Bounce,614,209
714,184,18676,Front_Bounce,609,209
715,217,18682,Back_Bounce,598,220
716,214,18683,Back_Hit,769,155
717,185,18686,Front_Bounce,592,235
718,215,18688,Back_Hit,773,152
719,186,18691,Front_Bounce,583,216
720,218,18695,Back_Bounce,574,208
