,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction
118,118,22,14212.0,9.21,6.32,,,,,Nishioka,Bounce,,Cross
119,119,22,14224.0,12.85,-2.97,10.38,-2.97,4.17,23.15,Nishioka,Hit,Back,Cross
120,120,22,14280.0,9.49,20.47,,,,,Nishioka,Bounce,,Cross
121,121,22,14311.0,10.11,27.13,-7.2,-24.74,7.78,27.13,Nishioka,Hit,Fore,Cross
122,122,22,14332.0,3.94,5.89,,,,,Nishioka,Bounce,,Cross
123,123,22,14348.0,1.85,-3.11,2.84,-3.11,6.9,26.78,Nishioka,Hit,Fore,Cross
124,124,22,14371.0,6.49,17.3,,,,,Nishioka,Bounce,,Cross
125,125,22,14387.0,8.36,25.16,4.29,-4.18,7.22,25.16,Nishioka,Hit,Fore,Cross
126,126,22,14409.0,5.07,5.59,,,,,Nishioka,Bounce,,Cross
127,127,22,14423.0,3.82,-2.43,4.74,-2.43,6.25,24.87,Nishioka,Hit,Fore,Cross
128,128,22,14454.0,8.1,18.57,,,,,Nishioka,Bounce,,Cross
129,129,22,14473.0,10.4,25.01,4.73,-2.94,8.77,25.01,Nishioka,Hit,Fore,Cross
130,130,22,14499.0,1.53,4.41,,,,,Nishioka,Bounce,,Cross
131,131,22,14523.0,-1.41,-3.62,-0.18,-3.62,7.68,24.53,Nishioka,Hit,Fore,Cross
132,132,23,15187.0,2.22,6.65,,,,,Nishioka,Bounce,,Cross
133,133,23,15203.0,-1.57,-1.65,0.33,-1.65,6.69,23.6,Nishioka,Hit,Fore,Cross
134,134,24,15674.0,8.22,5.68,,,,,Nishioka,Bounce,,Cross
135,135,24,15688.0,11.99,-4.77,10.44,-4.77,4.01,23.2,Nishioka,Hit,Back,Cross
136,136,25,16153.0,5.4,6.23,,,,,Nishioka,Bounce,,Cross
137,137,25,16166.0,4.48,-3.22,3.13,-3.22,6.53,23.16,Nishioka,Hit,Back,Cross
138,138,25,16222.0,3.18,17.74,,,,,Nishioka,Bounce,,Cross
139,139,25,16244.0,2.11,20.03,5.52,-2.77,1.6,20.03,Nishioka,Hit,Fore,Cross
