,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
221,221,189004,189239,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
222,222,189240,195094,1-0,6-6,5-6,0-0,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
223,223,195095,196177,1-1,0-0,0-0,0-15,1,Nakashima,Nishioka,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
224,224,196178,196986,1-1,0-0,0-15,0-30,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
225,225,196987,198208,1-1,0-0,0-30,15-30,1,Nakashima,Nakashima,1,0,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
226,226,198209,199105,1-1,0-0,15-30,15-40,1,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
227,227,199106,199816,1-1,0-0,15-40,30-40,1,Nakashima,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
228,228,199817,200243,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
229,229,200244,202001,1-1,0-0,30-40,0-0,2,Nakashima,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
230,230,202002,202752,1-1,0-1,0-0,15-0,1,Nishioka,Nakashima,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
231,231,202753,203042,,,,,1,,,2,2,フォルト,1,0,0,0,0,0,0,0,0,0,0
232,232,203043,203895,1-1,0-1,15-0,15-15,2,Nishioka,Nishioka,0,1,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
233,233,203896,204392,1-1,0-1,15-15,15-30,1,Nishioka,Nishioka,0,1,サービスエース,0,0,0,0,0,0,0,0,0,0,0
234,234,204393,204874,1-1,0-1,15-30,15-40,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
235,235,204875,205960,1-1,0-1,15-40,0-0,1,Nishioka,Nishioka,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
