,index,StartFrame,EndFrame,Set,Game,Score,ScoreResult,FirstSecond,Server,PointWinner,PointWinA,PointWinB,PointPattern,Fault,ContactServeX,ContactServeY,Court1X,Court1Y,Court2X,Court2Y,Court3X,Court3Y,Court4X,Court4Y
137,137,147514,147825,1-1,0-0,30-40,40-Ad,1,Tsitsipas,Nishikori,0,1,ボレーウィナー,0,0,0,0,0,0,0,0,0,0,0
138,138,148565,148682,1-1,0-0,40-40,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
139,139,148829,148949,1-1,0-0,40-40,40-40,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
140,140,149407,149687,1-1,0-0,40-Ad,,1,Tsitsipas,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
141,141,149818,149927,1-1,0-0,40-Ad,Ad-40,1,Tsitsipas,Tsitsipas,1,0,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
142,142,151774,151960,1-1,0-1,0-0,40-40,1,Tsitsipas,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
143,143,152534,152645,1-1,0-1,15-0,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
144,144,152903,153293,1-1,0-1,15-0,Ad-40,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
145,145,153976,154235,1-1,0-1,15-15,0-0,1,Tsitsipas,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
146,146,155108,155221,1-1,0-1,15-30,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
147,147,155458,156045,1-1,0-1,15-30,15-0,1,Nishikori,Tsitsipas,1,0,ストロークエラー,0,0,0,0,0,0,0,0,0,0,0
148,148,156940,157050,1-1,0-1,15-40,,1,Nishikori,,,,フォルト,,0,0,0,0,0,0,0,0,0,0
149,149,157303,157661,1-1,0-1,15-40,15-15,1,Nishikori,Nishikori,0,1,ストロークウィナー,0,0,0,0,0,0,0,0,0,0,0
150,150,158536,158674,1-1,1-0,30-40,15-30,1,Nishikori,Nishikori,0,1,リターンエラー,0,0,0,0,0,0,0,0,0,0,0
