,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction,Server,Returner,Game,winner,ballx_f,bally_f,playerAx_f,playerAy_f,playerBx_f,playerBy_f,hitplayer_x,hitplayer_y,waitplayer_x,waitplayer_y,nth
313,313,53,38122.0,10.44,4.22,9.29,4.22,5.13,25.53,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nishioka,4.954999999999999,-7.670000000000001,3.804999999999999,-7.670000000000001,-0.3550000000000004,13.64,3.804999999999999,-7.670000000000001,-0.3550000000000004,13.64,3
320,320,55,39459.0,9.69,-2.0,10.52,-2.0,4.61,26.74,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,4.204999999999999,-13.89,5.034999999999999,-13.89,-0.875,14.849999999999998,5.034999999999999,-13.89,-0.875,14.849999999999998,3
325,325,57,40526.0,4.5,-2.12,5.75,-2.12,5.41,26.72,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,-0.9850000000000003,-14.010000000000002,0.2649999999999997,-14.010000000000002,-0.07500000000000018,14.829999999999998,0.2649999999999997,-14.010000000000002,-0.07500000000000018,14.829999999999998,3
329,329,57,40604.0,5.62,-0.26,6.8,-0.26,7.61,26.74,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,0.1349999999999998,-12.15,1.3149999999999995,-12.15,2.125,14.849999999999998,1.3149999999999995,-12.15,2.125,14.849999999999998,7
333,333,57,40676.0,2.31,-1.44,3.76,-1.44,6.4,25.58,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nishioka,-3.1750000000000003,-13.33,-1.7250000000000005,-13.33,0.915,13.689999999999998,-1.7250000000000005,-13.33,0.915,13.689999999999998,11
337,337,57,40751.0,10.02,-3.32,9.19,-3.32,5.61,23.81,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,3-1,Nishioka,4.534999999999999,-15.21,3.704999999999999,-15.21,0.125,11.919999999999998,3.704999999999999,-15.21,0.125,11.919999999999998,15
347,347,59,42394.0,3.15,-0.48,4.76,-0.48,8.04,25.51,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,3-1,Nakashima,-2.3350000000000004,-12.370000000000001,-0.7250000000000005,-12.370000000000001,2.554999999999999,13.620000000000001,-0.7250000000000005,-12.370000000000001,2.554999999999999,13.620000000000001,3
357,357,61,47278.0,8.99,21.76,6.51,6.57,7.91,21.76,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,4-1,Nishioka,3.505,9.870000000000001,1.0249999999999995,-5.32,2.425,9.870000000000001,2.425,9.870000000000001,1.0249999999999995,-5.32,5
361,361,61,47359.0,1.82,16.86,4.85,3.44,2.57,16.86,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,4-1,Nishioka,-3.665,4.969999999999999,-0.6350000000000007,-8.450000000000001,-2.9150000000000005,4.969999999999999,-2.9150000000000005,4.969999999999999,-0.6350000000000007,-8.450000000000001,9
374,374,64,48989.0,9.48,24.81,5.87,3.48,7.37,24.81,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,4-1,Nishioka,3.995,12.919999999999998,0.3849999999999998,-8.41,1.8849999999999998,12.919999999999998,1.8849999999999998,12.919999999999998,0.3849999999999998,-8.41,5
383,383,65,49657.0,1.14,24.89,6.25,-2.44,2.34,24.89,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,4-1,Nishioka,-4.345000000000001,13.0,0.7649999999999997,-14.33,-3.1450000000000005,13.0,-3.1450000000000005,13.0,0.7649999999999997,-14.33,5
387,387,65,49740.0,8.0,24.43,9.63,-3.4,6.56,24.43,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,4-1,Nishioka,2.5149999999999997,12.54,4.1450000000000005,-15.290000000000001,1.0749999999999993,12.54,1.0749999999999993,12.54,4.1450000000000005,-15.290000000000001,9
391,391,65,49872.0,6.81,22.75,5.05,-3.13,5.49,22.75,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,4-1,Nishioka,1.3249999999999993,10.86,-0.4350000000000005,-15.02,0.004999999999999893,10.86,0.004999999999999893,10.86,-0.4350000000000005,-15.02,13
395,395,65,49952.0,3.44,22.23,3.6,-3.09,4.57,22.23,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,4-1,Nishioka,-2.0450000000000004,10.34,-1.8850000000000002,-14.98,-0.915,10.34,-0.915,10.34,-1.8850000000000002,-14.98,17
400,400,66,50994.0,10.16,24.01,2.67,-1.94,8.48,24.01,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nishioka,4.675,12.120000000000001,-2.8150000000000004,-13.83,2.995,12.120000000000001,2.995,12.120000000000001,-2.8150000000000004,-13.83,3
405,405,67,51688.0,5.62,23.14,6.36,-3.11,4.48,23.14,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nakashima,0.1349999999999998,11.25,0.875,-15.0,-1.005,11.25,-1.005,11.25,0.875,-15.0,3
411,411,69,52699.0,6.84,23.53,0.33,-0.73,5.41,23.53,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nakashima,1.3549999999999995,11.64,-5.155,-12.620000000000001,-0.07500000000000018,11.64,-0.07500000000000018,11.64,-5.155,-12.620000000000001,3
417,417,70,53402.0,4.5,21.56,7.04,-3.04,3.53,21.56,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nakashima,-0.9850000000000003,9.669999999999998,1.5549999999999997,-14.93,-1.9550000000000005,9.669999999999998,-1.9550000000000005,9.669999999999998,1.5549999999999997,-14.93,3
421,421,70,53458.0,5.31,17.11,1.67,-5.05,4.79,17.11,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nakashima,-0.1750000000000007,5.219999999999999,-3.8150000000000004,-16.94,-0.6950000000000003,5.219999999999999,-0.6950000000000003,5.219999999999999,-3.8150000000000004,-16.94,7
428,428,71,54307.0,8.74,22.69,3.97,-2.79,7.71,22.69,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nishioka,3.255,10.8,-1.5150000000000001,-14.68,2.2249999999999996,10.8,2.2249999999999996,10.8,-1.5150000000000001,-14.68,3
432,432,71,54393.0,6.09,22.81,4.15,-3.11,4.86,22.81,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nishioka,0.6049999999999995,10.919999999999998,-1.335,-15.0,-0.625,10.919999999999998,-0.625,10.919999999999998,-1.335,-15.0,7
437,437,73,55918.0,1.86,23.27,7.81,-2.74,3.11,23.27,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,4-2,Nishioka,-3.625,11.379999999999999,2.3249999999999993,-14.63,-2.3750000000000004,11.379999999999999,-2.3750000000000004,11.379999999999999,2.3249999999999993,-14.63,3
441,441,73,56010.0,2.33,25.15,6.3,-1.88,3.5,25.15,Nakashima,Hit,Back,Cross,Nakashima,Nishioka,4-2,Nishioka,-3.1550000000000002,13.259999999999998,0.8149999999999995,-13.77,-1.9850000000000003,13.259999999999998,-1.9850000000000003,13.259999999999998,0.8149999999999995,-13.77,7
446,446,75,58682.0,13.24,23.46,3.6,-2.64,11.15,23.46,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nishioka,7.755,11.57,-1.8850000000000002,-14.530000000000001,5.665,11.57,5.665,11.57,-1.8850000000000002,-14.530000000000001,3
453,453,77,59869.0,9.18,21.55,3.13,-3.7,7.74,21.55,Nakashima,Hit,Fore,Cross,Nakashima,Nishioka,4-2,Nakashima,3.6949999999999994,9.66,-2.3550000000000004,-15.59,2.255,9.66,2.255,9.66,-2.3550000000000004,-15.59,3
462,462,79,66857.0,8.64,-2.11,7.84,-2.11,5.87,20.92,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,5-2,Nakashima,3.1550000000000002,-14.0,2.3549999999999995,-14.0,0.3849999999999998,9.030000000000001,2.3549999999999995,-14.0,0.3849999999999998,9.030000000000001,5
477,477,83,68533.0,6.87,-2.14,6.44,-2.14,5.46,25.58,Nakashima,Hit,Back,Cross,Nishioka,Nakashima,5-2,Nishioka,1.3849999999999998,-14.030000000000001,0.9550000000000001,-14.030000000000001,-0.025000000000000355,13.689999999999998,0.9550000000000001,-14.030000000000001,-0.025000000000000355,13.689999999999998,5
481,481,83,68609.0,3.9,-1.76,4.91,-1.76,6.86,25.75,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,5-2,Nishioka,-1.5850000000000004,-13.65,-0.5750000000000002,-13.65,1.375,13.86,-0.5750000000000002,-13.65,1.375,13.86,9
485,485,83,68682.0,1.61,-1.76,2.57,-1.76,-18.63,-37.87,Nakashima,Hit,Fore,Cross,Nishioka,Nakashima,5-2,Nishioka,-3.875,-13.65,-2.9150000000000005,-13.65,-24.115,-49.76,-2.9150000000000005,-13.65,-24.115,-49.76,13
