,index,point,frame,ballx,bally,playerAx,playerAy,playerBx,playerBy,hitplayer,bouncehit,foreback,direction,x1,y1,x2,y2,x3,y3,x4,y4,total_rally,pattern,rally,last
56,56,14,11727,2.345,-15.03,1.515,-15.29,-0.975000000000001,13.14,Down,Hit,TEST,TEST,1022.0,223.0,496.0,226.0,284.0,703.0,1235.0,705.0,6,ストロークエラー,4,1
57,57,14,11770,-5.795,13.29,1.825,-15.04,-4.975,13.29,Down,Hit,TEST,TEST,1022.0,223.0,496.0,226.0,284.0,703.0,1235.0,705.0,6,ストロークエラー,5,0
58,58,15,12835,-1.695,-12.41,-1.075,-12.41,3.645,14.62,Up,Hit,TEST,TEST,1023.0,222.0,496.0,225.0,283.0,706.0,1238.0,703.0,3,ストロークウィナー,0,2
59,59,15,12866,5.355,13.24,-1.305,-11.52,3.965,13.09,Down,Hit,TEST,TEST,1023.0,222.0,496.0,225.0,283.0,706.0,1234.0,702.0,3,ストロークウィナー,1,1
60,60,15,12903,-1.135,-12.32,0.165,-12.93,3.885,12.32,Down,Hit,TEST,TEST,1023.0,222.0,496.0,225.0,283.0,706.0,1234.0,702.0,3,ストロークウィナー,2,0
61,61,16,13509,1.785,-12.5,1.505,-12.5,-26.145,-45.49,Up,Hit,TEST,TEST,1023.0,223.0,496.0,225.0,284.0,700.0,1234.0,705.0,1,サービスエース,0,0
62,62,17,14030,-1.355,-12.14,-1.375,-13.01,3.555,13.77,Up,Hit,TEST,TEST,1023.0,223.0,496.0,225.0,284.0,700.0,1234.0,705.0,3,ストロークエラー,0,2
63,63,17,14050,5.935,12.77,-1.155,-11.32,4.455,12.77,Down,Hit,TEST,TEST,1023.0,221.0,495.0,225.0,284.0,703.0,1231.0,709.0,3,ストロークエラー,1,1
64,64,17,14085,1.065,-12.63,0.215,-12.23,4.605,11.78,Down,Hit,TEST,TEST,1023.0,221.0,495.0,225.0,284.0,703.0,1231.0,709.0,3,ストロークエラー,2,0
65,65,18,15155,1.495,-12.2,1.585,-12.2,-3.745,14.98,Up,Hit,TEST,TEST,1020.0,221.0,495.0,225.0,284.0,697.0,1234.0,704.0,3,フォルト,0,2
66,66,18,15166,1.715,-12.59,1.485,-12.59,-3.485,15.09,Up,Hit,TEST,TEST,1023.0,223.0,495.0,225.0,284.0,696.0,1234.0,704.0,3,フォルト,1,1
67,67,18,15232,-4.725,12.59,1.455,-11.4,-2.265,12.59,Down,Hit,TEST,TEST,1022.0,221.0,495.0,225.0,283.0,704.0,1234.0,704.0,3,フォルト,2,0
68,68,19,15420,1.975,-12.41,1.505,-12.41,-26.485,-46.16,Up,Hit,TEST,TEST,1024.0,223.0,496.0,225.0,284.0,695.0,1235.0,704.0,5,ストロークウィナー,0,4
69,69,19,15461,-4.725,12.86,1.405,-11.67,-3.525,12.86,Down,Hit,TEST,TEST,1023.0,221.0,498.0,225.0,276.0,704.0,1234.0,704.0,5,ストロークウィナー,1,3
70,70,19,15505,3.185,-13.69,4.365,-13.87,-1.025,13.53,Down,Hit,TEST,TEST,1023.0,221.0,498.0,225.0,276.0,704.0,1234.0,704.0,5,ストロークウィナー,2,2
71,71,19,15538,-4.645,13.7,2.985,-12.8,-3.775,13.65,Down,Hit,TEST,TEST,1023.0,221.0,498.0,225.0,276.0,704.0,1234.0,704.0,5,ストロークウィナー,3,1
72,72,19,15595,4.265,-12.03,5.235,-11.89,-2.335,14.25,Down,Hit,TEST,TEST,1049.75,223.777777777778,520.125,216.711111111111,320.625,699.6,1263.5,704.311111111111,5,ストロークウィナー,4,0
73,73,20,16368,1.765,12.33,-0.455,-10.58,2.655,12.33,Down,Hit,TEST,TEST,1024.0,222.0,500.0,224.0,285.0,702.0,1236.0,704.0,1,サービスエース,0,0
74,74,21,20016,-1.625,-12.14,-1.035,-12.14,3.845,13.88,Up,Hit,TEST,TEST,1025.0,223.0,500.0,226.0,285.0,707.0,1239.0,703.0,6,ストロークウィナー,0,5
75,75,21,20049,1.065,12.99,-1.035,-12.14,2.545,13.12,Up,Hit,TEST,TEST,1025.0,223.0,500.0,226.0,285.0,707.0,1239.0,703.0,6,ストロークウィナー,1,4
76,76,21,20058,0.795,12.59,-0.355,-11.94,1.445,12.59,Down,Hit,TEST,TEST,1024.0,223.0,499.0,226.0,285.0,707.0,1236.0,705.0,6,ストロークウィナー,2,3
77,77,21,20111,0.895,-10.5,1.825,-10.88,-0.345000000000001,15.11,Down,Hit,TEST,TEST,1024.0,223.0,499.0,226.0,285.0,707.0,1236.0,705.0,6,ストロークウィナー,3,2
78,78,21,20143,4.185,15.17,1.075,-11.24,2.735,15.22,Down,Hit,TEST,TEST,1024.0,223.0,499.0,227.0,284.0,707.0,1235.0,705.0,6,ストロークウィナー,4,1
79,79,21,20194,-2.295,-9.82,-1.685,-10.2,1.005,15.31,Down,Hit,TEST,TEST,1024.0,223.0,499.0,227.0,296.875,690.177777777778,1230.25,692.533333333333,6,ストロークウィナー,5,0
80,80,22,20863,-0.115,-11.82,1.345,-12.66,-3.555,14.25,Up,Hit,TEST,TEST,1016.5,226.133333333333,508.0,223.0,298.0,686.0,1222.0,690.0,2,リターンエラー,0,1
81,81,22,20912,-1.015,13.21,1.095,-11.6,-2.395,13.17,Down,Hit,TEST,TEST,1021.25,226.133333333333,508.0,224.0,298.0,693.0,1222.0,691.0,2,リターンエラー,1,0
82,82,23,21518,-1.565,-12.21,-1.065,-12.21,3.755,14.15,Up,Hit,TEST,TEST,1016.0,224.0,507.0,223.0,297.0,691.0,1227.0,689.0,5,ストロークエラー,0,4
83,83,23,21548,5.275,12.85,-0.885000000000001,-11.29,4.235,12.85,Down,Hit,TEST,TEST,1016.0,224.0,507.0,223.0,297.0,691.0,1218.0,693.0,5,ストロークエラー,1,3
84,84,23,21586,3.085,-12.77,1.705,-13.44,4.195,11.82,Down,Hit,TEST,TEST,1016.0,224.0,507.0,223.0,297.0,691.0,1218.0,693.0,5,ストロークエラー,2,2
85,85,23,21632,-2.685,11.18,1.435,-14.95,-1.925,11.18,Down,Hit,TEST,TEST,1016.0,225.0,507.0,223.0,297.0,691.0,1221.0,690.0,5,ストロークエラー,3,1
86,86,23,21679,-2.955,-15.44,-1.575,-15.44,-2.145,11.78,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,5,ストロークエラー,4,0
87,87,25,22756,0.855,-13.02,0.965,-13.25,-3.435,12.83,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,0,10
88,88,25,22787,-4.375,12.06,1.315,-12.8,-4.125,12.0,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,1,9
89,89,25,22820,2.925,-12.57,2.315,-13.02,-2.825,12.89,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,2,8
90,90,25,22895,-4.325,-13.02,-3.235,-13.25,1.555,14.46,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,3,7
91,91,25,22927,-1.405,14.46,-3.015,-13.02,-0.585,14.41,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,4,6
92,92,25,22989,2.805,-13.25,1.865,-13.48,-1.255,14.95,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,5,5
93,93,25,23022,-4.175,14.18,1.795,-13.02,-3.435,14.3,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,6,4
94,94,25,23079,1.265,-12.57,2.185,-12.35,-1.115,15.21,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,7,3
95,95,25,23112,3.065,15.21,0.385,-12.8,2.165,15.16,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,8,2
96,96,25,23147,-3.095,-13.48,-1.975,-13.25,1.845,14.68,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,9,1
97,97,25,23187,5.555,14.52,-1.235,-13.02,4.545,14.74,Up,Hit,TEST,TEST,1016.0,224.0,507.0,224.0,298.0,691.0,1221.0,691.0,11,ストロークエラー,10,0
98,98,26,24169,4.815,12.66,-1.065,-11.71,4.045,12.66,Down,Hit,TEST,TEST,1016.0,223.0,507.0,223.0,297.0,691.0,1222.0,697.0,1,リターンエラー,0,0
99,99,27,25112,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,3,サービスエース,0,2
100,100,27,25117,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,3,サービスエース,1,1
101,101,27,25195,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,3,サービスエース,2,0
102,102,29,26209,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,0,9
103,103,29,26332,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,1,8
104,104,29,26388,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,2,7
105,105,29,26481,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,3,6
106,106,29,26497,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,4,5
107,107,29,26547,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,5,4
108,108,29,26643,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,6,3
109,109,29,26673,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,7,2
110,110,29,26714,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,8,1
111,111,29,26871,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,10,リターンエラー,9,0
112,112,30,27095,,,,,,,Up,Hit,TEST,TEST,,,,,,,,,4,サービスエース,0,3
113,113,30,27188,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,4,サービスエース,1,2
114,114,30,27249,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,4,サービスエース,2,1
115,115,30,27404,,,,,,,Down,Hit,TEST,TEST,,,,,,,,,4,サービスエース,3,0
116,116,31,31188,1.315,12.11,-4.475,-12.82,1.495,12.11,Down,Hit,TEST,TEST,1378.0,103.0,506.0,223.0,293.0,695.0,1222.0,692.0,5,フォルト,0,4
